Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	2.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.60375	 "	"	27.458	 "	"	1.55436	 "	"	2.82356	 "	"	0.00696	 "	"	1.13194	 "	"	2.13873	 "	"	2.82359	 "	"	10	 "	"	12	 "	"	16	 "	"	7	 "	"	7	 "	"	3	 "
"	4.0	 "	"	8	 "	"	8192	 "	"	64	 "	"	0.714562	 "	"	34.4169	 "	"	0.627658	 "	"	1.02085	 "	"	0.0016	 "	"	0.205242	 "	"	2.13873	 "	"	1.02086	 "	"	13	 "	"	12	 "	"	17	 "	"	7	 "	"	7	 "	"	3	 "
"	2.0	 "	"	8	 "	"	32768	 "	"	1024	 "	"	2.81828	 "	"	25.542	 "	"	2.74028	 "	"	4.03416	 "	"	0.013104	 "	"	2.1934	 "	"	2.13873	 "	"	4.03418	 "	"	8	 "	"	15	 "	"	17	 "	"	14	 "	"	4	 "	"	2	 "
"	1.0	 "	"	4	 "	"	32768	 "	"	256	 "	"	0.772563	 "	"	35.5282	 "	"	0.69044	 "	"	0.998809	 "	"	0.003888	 "	"	0.148761	 "	"	0.722927	 "	"	0.998817	 "	"	6	 "	"	14	 "	"	16	 "	"	12	 "	"	3	 "	"	1	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.49164	 "	"	27.6501	 "	"	1.38858	 "	"	5.8933	 "	"	0.013152	 "	"	0.543747	 "	"	0.722927	 "	"	5.89333	 "	"	11	 "	"	14	 "	"	19	 "	"	9	 "	"	6	 "	"	2	 "
"	2.0	 "	"	4	 "	"	32768	 "	"	1024	 "	"	1.55346	 "	"	28.782	 "	"	1.47104	 "	"	2.64253	 "	"	0.01312	 "	"	0.543234	 "	"	0.722927	 "	"	2.64255	 "	"	7	 "	"	15	 "	"	18	 "	"	13	 "	"	4	 "	"	1	 "
"	1.0	 "	"	8	 "	"	16384	 "	"	256	 "	"	1.10365	 "	"	31.1852	 "	"	1.06305	 "	"	1.21771	 "	"	0.003856	 "	"	0.599142	 "	"	2.13873	 "	"	1.21771	 "	"	8	 "	"	11	 "	"	14	 "	"	9	 "	"	5	 "	"	2	 "
"	4.0	 "	"	4	 "	"	32768	 "	"	128	 "	"	1.87046	 "	"	44.1896	 "	"	1.76859	 "	"	1.20242	 "	"	0.0024	 "	"	0.0841269	 "	"	0.722927	 "	"	1.20242	 "	"	8	 "	"	18	 "	"	23	 "	"	13	 "	"	6	 "	"	2	 "
"	1.0	 "	"	8	 "	"	32768	 "	"	1024	 "	"	2.81287	 "	"	24.7348	 "	"	2.7382	 "	"	3.82436	 "	"	0.013072	 "	"	2.19133	 "	"	2.13873	 "	"	3.82437	 "	"	8	 "	"	15	 "	"	17	 "	"	14	 "	"	4	 "	"	2	 "
"	1.0	 "	"	8	 "	"	8192	 "	"	256	 "	"	1.05326	 "	"	30.8178	 "	"	1.02156	 "	"	1.3224	 "	"	0.003856	 "	"	0.599142	 "	"	2.13873	 "	"	1.32241	 "	"	8	 "	"	11	 "	"	16	 "	"	7	 "	"	7	 "	"	3	 "
"	4.0	 "	"	8	 "	"	32768	 "	"	64	 "	"	1.21439	 "	"	41.7838	 "	"	1.12785	 "	"	1.28872	 "	"	0.0016	 "	"	0.205242	 "	"	2.13873	 "	"	1.28872	 "	"	9	 "	"	16	 "	"	19	 "	"	14	 "	"	5	 "	"	3	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	256	 "	"	1.09768	 "	"	33.4618	 "	"	0.994618	 "	"	1.85661	 "	"	0.003936	 "	"	0.149787	 "	"	0.722927	 "	"	1.85662	 "	"	11	 "	"	14	 "	"	19	 "	"	9	 "	"	6	 "	"	2	 "
"	2.0	 "	"	8	 "	"	8192	 "	"	256	 "	"	1.07302	 "	"	31.0752	 "	"	1.02363	 "	"	1.62912	 "	"	0.003888	 "	"	0.601215	 "	"	2.13873	 "	"	1.62913	 "	"	10	 "	"	12	 "	"	16	 "	"	7	 "	"	7	 "	"	3	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	256	 "	"	1.05966	 "	"	33.3269	 "	"	0.994105	 "	"	1.22886	 "	"	0.003904	 "	"	0.149274	 "	"	0.722927	 "	"	1.22887	 "	"	8	 "	"	13	 "	"	18	 "	"	8	 "	"	6	 "	"	2	 "
"	1.0	 "	"	8	 "	"	32768	 "	"	512	 "	"	1.75142	 "	"	27.6359	 "	"	1.67675	 "	"	2.13352	 "	"	0.006928	 "	"	1.12987	 "	"	2.13873	 "	"	2.13353	 "	"	8	 "	"	15	 "	"	17	 "	"	14	 "	"	4	 "	"	2	 "
